student-id,name,type,late,early,late-pick-up,class
22078,石川隼人,一般,0,3,0,たんぽぽ組
22079,山崎航大,延長,3,2,0,たんぽぽ組
22080,藤田陽菜,一般,5,0,1,たんぽぽ組
22081,山本拓真,延長,2,0,1,たんぽぽ組
22082,松本悠真,一般,0,2,0,たんぽぽ組
22083,太田心春,延長,2,3,0,たんぽぽ組
22084,橋本拓真,短時間,1,1,0,たんぽぽ組
22085,岡本大輝,短時間,0,0,1,たんぽぽ組
22086,木村怜,延長,3,3,1,たんぽぽ組
22087,山田大樹,一般,5,3,0,たんぽぽ組
22088,加藤莉子,短時間,1,2,0,たんぽぽ組
22089,鈴木優花,延長,2,1,0,たんぽぽ組
22090,中野隼人,延長,5,1,2,たんぽぽ組
22091,田村湊,延長,0,3,2,たんぽぽ組
22092,木村拓真,延長,3,0,1,たんぽぽ組
22093,田村結菜,延長,3,2,0,すみれ組
22094,小野湊,一般,2,2,2,すみれ組
22095,高橋隼人,短時間,2,1,2,すみれ組
22096,橋本蓮,延長,5,0,2,すみれ組
22097,伊藤海翔,延長,0,1,0,すみれ組
22098,山田心音,一般,2,3,2,すみれ組
22099,鈴木湊,短時間,2,3,0,すみれ組
22100,石川颯太,一般,3,2,2,すみれ組
22101,前田大樹,延長,3,1,0,すみれ組
22102,岡本咲良,延長,3,2,0,すみれ組
22103,前田陽翔,延長,4,3,2,すみれ組
22104,中川美羽,延長,3,2,1,すみれ組
22105,山崎大和,延長,4,0,2,すみれ組
22106,池田怜,一般,3,2,0,すみれ組
22107,山本心春,延長,2,0,0,すみれ組
22108,木村拓海,短時間,4,2,0,すみれ組
22109,三浦凛,一般,5,2,2,すみれ組
22110,坂本美月,一般,3,1,2,すみれ組
22111,中村陽翔,延長,3,2,2,すみれ組
22112,太田颯太,短時間,4,2,2,すみれ組
22113,坂本咲良,延長,4,3,1,すみれ組
22114,藤田美羽,延長,5,2,1,すみれ組
22115,藤田美月,短時間,1,0,0,すみれ組
